#Target	Family	Augustus	Snap	est	est_gff	altest	altest_gff	protein	protein_gff	rmlib	rm_gff	maker_gff	other_gff	snoscan_rrna
R_azyg_My.fa	Mucoraceae	rhizopus_oryzae	0	0	0	rhizopus.mRNA.fasta	0	rhizopus.aa.fasta	0	0	0	0	0	0
R_del21446.fa	Mucoraceae	rhizopus_oryzae	0	0	0	rhizopus.mRNA.fasta	0	rhizopus.aa.fasta	0	0	0	0	0	0
R_del21447.fa	Mucoraceae	rhizopus_oryzae	0	0	0	rhizopus.mRNA.fasta	0	rhizopus.aa.fasta	0	0	0	0	0	0
R_del21477.fa	Mucoraceae	rhizopus_oryzae	0	0	0	rhizopus.mRNA.fasta	0	rhizopus.aa.fasta	0	0	0	0	0	0
R_del99880.fa	Mucoraceae	rhizopus_oryzae	0	0	0	rhizopus.mRNA.fasta	0	rhizopus.aa.fasta	0	0	0	0	0	0
R_micro52813.fa	Mucoraceae	rhizopus_oryzae	0	0	0	rhizopus.mRNA.fasta	0	rhizopus.aa.fasta	0	0	0	0	0	0
R_microB9738.fa	Mucoraceae	rhizopus_oryzae	0	0	0	rhizopus.mRNA.fasta	0	rhizopus.aa.fasta	0	0	0	0	0	0
R_micro_chinM201021.fa	Mucoraceae	rhizopus_oryzae	0	0	0	rhizopus.mRNA.fasta	0	rhizopus.aa.fasta	0	0	0	0	0	0
R_micro_rhizB7455.fa	Mucoraceae	rhizopus_oryzae	0	0	0	rhizopus.mRNA.fasta	0	rhizopus.aa.fasta	0	0	0	0	0	0
R_oryz13440.fa	Mucoraceae	rhizopus_oryzae	0	0	0	rhizopus.mRNA.fasta	0	rhizopus.aa.fasta	0	0	0	0	0	0
R_oryz18148.fa	Mucoraceae	rhizopus_oryzae	0	0	0	rhizopus.mRNA.fasta	0	rhizopus.aa.fasta	0	0	0	0	0	0
R_oryz21396.fa	Mucoraceae	rhizopus_oryzae	0	0	0	rhizopus.mRNA.fasta	0	rhizopus.aa.fasta	0	0	0	0	0	0
R_oryz21789.fa	Mucoraceae	rhizopus_oryzae	0	0	0	rhizopus.mRNA.fasta	0	rhizopus.aa.fasta	0	0	0	0	0	0
R_oryz99133.fa	Mucoraceae	rhizopus_oryzae	0	0	0	rhizopus.mRNA.fasta	0	rhizopus.aa.fasta	0	0	0	0	0	0
R_oryz99892.fa	Mucoraceae	rhizopus_oryzae	0	0	0	rhizopus.mRNA.fasta	0	rhizopus.aa.fasta	0	0	0	0	0	0
R_oryzB7407.fa	Mucoraceae	rhizopus_oryzae	0	0	0	rhizopus.mRNA.fasta	0	rhizopus.aa.fasta	0	0	0	0	0	0
R_oryzHUMC02.fa	Mucoraceae	rhizopus_oryzae	0	0	0	rhizopus.mRNA.fasta	0	rhizopus.aa.fasta	0	0	0	0	0	0
R_stolB9770.fa	Mucoraceae	rhizopus_oryzae	0	0	0	rhizopus.mRNA.fasta	0	rhizopus.aa.fasta	0	0	0	0	0	0
R_stol_My.fa	Mucoraceae	rhizopus_oryzae	0	0	0	rhizopus.mRNA.fasta	0	rhizopus.aa.fasta	0	0	0	0	0	0
