Target	Augustus	Snap	EST.fasta	ESTs.gff	altESTs.fasta	Altest.gff	Proteins	Proteins.gff	Maker.gff
R_azyg_My.fa	rhizopus_oryzae	0	0	0	rhizopus.mRNA.fasta	0	rhizopus.aa.fasta	0	0
R_del21446.fa	rhizopus_oryzae	0	0	0	rhizopus.mRNA.fasta	0	rhizopus.aa.fasta	0	0
R_del21447.fa	rhizopus_oryzae	0	0	0	rhizopus.mRNA.fasta	0	rhizopus.aa.fasta	0	0
R_del21477.fa	rhizopus_oryzae	0	0	0	rhizopus.mRNA.fasta	0	rhizopus.aa.fasta	0	0
R_del99880.fa	rhizopus_oryzae	0	0	0	rhizopus.mRNA.fasta	0	rhizopus.aa.fasta	0	0
R_micro52813.fa	rhizopus_oryzae	0	0	0	rhizopus.mRNA.fasta	0	rhizopus.aa.fasta	0	0
R_microB9738.fa	rhizopus_oryzae	0	0	0	rhizopus.mRNA.fasta	0	rhizopus.aa.fasta	0	0
R_micro_chinM201021.fa	rhizopus_oryzae	0	0	0	rhizopus.mRNA.fasta	0	rhizopus.aa.fasta	0	0
R_micro_rhizB7455.fa	rhizopus_oryzae	0	0	0	rhizopus.mRNA.fasta	0	rhizopus.aa.fasta	0	0
R_oryz13440.fa	rhizopus_oryzae	0	0	0	rhizopus.mRNA.fasta	0	rhizopus.aa.fasta	0	0
R_oryz18148.fa	rhizopus_oryzae	0	0	0	rhizopus.mRNA.fasta	0	rhizopus.aa.fasta	0	0
R_oryz21396.fa	rhizopus_oryzae	0	0	0	rhizopus.mRNA.fasta	0	rhizopus.aa.fasta	0	0
R_oryz21789.fa	rhizopus_oryzae	0	0	0	rhizopus.mRNA.fasta	0	rhizopus.aa.fasta	0	0
R_oryz99133.fa	rhizopus_oryzae	0	0	0	rhizopus.mRNA.fasta	0	rhizopus.aa.fasta	0	0
R_oryz99892.fa	rhizopus_oryzae	0	0	0	rhizopus.mRNA.fasta	0	rhizopus.aa.fasta	0	0
R_oryzB7407.fa	rhizopus_oryzae	0	0	0	rhizopus.mRNA.fasta	0	rhizopus.aa.fasta	0	0
R_oryzHUMC02.fa	rhizopus_oryzae	0	0	0	rhizopus.mRNA.fasta	0	rhizopus.aa.fasta	0	0
R_stolB9770.fa	rhizopus_oryzae	0	0	0	rhizopus.mRNA.fasta	0	rhizopus.aa.fasta	0	0
R_stol_My.fa	rhizopus_oryzae	0	0	0	rhizopus.mRNA.fasta	0	rhizopus.aa.fasta	0	0
